	0.0431    0.5176    0.7804
    0.0740    0.5332    0.7875
    0.1049    0.5488    0.7946
    0.1357    0.5643    0.8016
    0.1666    0.5799    0.8087
    0.1975    0.5954    0.8158
    0.2283    0.6110    0.8229
    0.2592    0.6266    0.8300
    0.2901    0.6421    0.8371
    0.3209    0.6577    0.8441
    0.3518    0.6732    0.8512
    0.3827    0.6888    0.8583
    0.4135    0.7044    0.8654
    0.4444    0.7199    0.8725
    0.4753    0.7355    0.8796
    0.5061    0.7510    0.8867
    0.5370    0.7666    0.8937
    0.5679    0.7822    0.9008
    0.5987    0.7977    0.9079
    0.6296    0.8133    0.9150
    0.6605    0.8288    0.9221
    0.6913    0.8444    0.9292
    0.7222    0.8600    0.9362
    0.7531    0.8755    0.9433
    0.7839    0.8911    0.9504
    0.8148    0.9066    0.9575
    0.8457    0.9222    0.9646
    0.8765    0.9378    0.9717
    0.9074    0.9533    0.9787
    0.9383    0.9689    0.9858
    0.9691    0.9844    0.9929
    1.0000    1.0000    1.0000
    1.0000    0.9688    0.9688
    1.0000    0.9375    0.9375
    1.0000    0.9062    0.9062
    1.0000    0.8750    0.8750
    1.0000    0.8438    0.8438
    1.0000    0.8125    0.8125
    1.0000    0.7812    0.7812
    1.0000    0.7500    0.7500
    1.0000    0.7188    0.7188
    1.0000    0.6875    0.6875
    1.0000    0.6562    0.6562
    1.0000    0.6250    0.6250
    1.0000    0.5938    0.5938
    1.0000    0.5625    0.5625
    1.0000    0.5312    0.5312
    1.0000    0.5000    0.5000
    1.0000    0.4688    0.4688
    1.0000    0.4375    0.4375
    1.0000    0.4062    0.4062
    1.0000    0.3750    0.3750
    1.0000    0.3438    0.3438
    1.0000    0.3125    0.3125
    1.0000    0.2812    0.2812
    1.0000    0.2500    0.2500
    1.0000    0.2188    0.2188
    1.0000    0.1875    0.1875
    1.0000    0.1562    0.1562
    1.0000    0.1250    0.1250
    1.0000    0.0938    0.0938
    1.0000    0.0625    0.0625
    1.0000    0.0312    0.0312
    1.0000         0         0
